RecID;MStamp;MStation;IDArtHistActief;IdArtHistPassief;RelatieType
1000141;2006-07-12;1;1066539;1066776;2
1000142;2006-07-12;1;1066539;1066777;2
1000143;2006-07-12;1;1066540;1066778;2
1000144;2006-07-12;1;1066542;1066779;2
1000145;2006-07-12;1;1066543;1066780;2
1000146;2006-07-12;1;1066544;1066781;2
1000147;2006-07-12;1;1066546;1066782;2
1000148;2006-07-12;1;1066547;1066783;2
1000149;2006-07-12;1;1066548;1066784;2
1000150;2006-07-12;1;1066549;1066785;2
1000151;2006-07-12;1;1066550;1066786;2
1000152;2006-07-12;1;1066551;1066788;2
1000153;2006-07-12;1;1066552;1066793;2
1000154;2006-07-12;1;1066553;1066797;2
1000155;2006-07-12;1;1066554;1066804;2
1000156;2006-07-12;1;1066555;1066805;2
1000157;2006-07-12;1;1066556;1066812;2
1000158;2006-07-12;1;1066557;1066821;2
1000159;2006-07-12;1;1066557;1066823;2
1000160;2006-07-12;1;1066557;1066824;2
1000161;2006-07-12;1;1066557;1066826;2
1000162;2006-07-12;1;1066558;1066827;2
1000164;2006-07-12;1;1066560;1066833;2
1000165;2006-07-12;1;1066562;1066835;2
1000166;2006-07-12;1;1066563;1066837;2
1000167;2006-07-12;1;1066564;1066840;2
1000168;2006-07-12;1;1066566;1066841;2
1000169;2006-07-12;1;1066567;1066851;2
1000170;2006-07-12;1;1066568;1066882;2
1000171;2006-07-12;1;1066570;1066883;2
1000172;2006-07-12;1;1066571;1066884;2
1000173;2006-07-12;1;1066572;1066885;2
1000174;2006-07-12;1;1066573;1066887;2
1000175;2006-07-12;1;1066575;1066888;2
1000176;2006-07-12;1;1066576;1066889;2
1000177;2006-07-12;1;1066577;1066890;2
1000178;2006-07-12;1;1066579;1066891;2
1000179;2006-07-12;1;1066580;1066892;2
1000180;2006-07-12;1;1066581;1066893;2
1000181;2006-07-12;1;1066582;1066894;2
1000182;2006-07-12;1;1066583;1066898;2
1000183;2006-07-12;1;1066584;1066903;2
1000184;2006-07-12;1;1066586;1066934;2
1000185;2006-07-12;1;1066589;1066935;2
1000186;2006-07-12;1;1066590;1066937;2
1000187;2006-07-12;1;1066592;1066938;2
1000188;2006-07-12;1;1066593;1066939;2
1000189;2006-07-12;1;1066593;1066940;2
1000190;2006-07-12;1;1066593;1066941;2
1000191;2006-07-12;1;1066593;1066942;2
1000192;2006-07-12;1;1066593;1066943;2
1000193;2006-07-12;1;1066594;1066944;2
1000194;2006-07-13;1;1066600;1066946;2
1000195;2006-07-13;1;1066601;1066947;2
1000196;2006-07-13;1;1066603;1066948;2
1000197;2006-07-13;1;1066604;1066949;2
1000198;2006-07-13;1;1066605;1066950;2
1000199;2006-07-13;1;1066607;1066951;2
1000200;2006-07-13;1;1066608;1066952;2
1000201;2006-07-13;1;1066610;1066953;2
1000202;2006-07-13;1;1066611;1066954;2
1000203;2006-07-13;1;1066612;1066956;2
1000204;2006-07-13;1;1066614;1066957;2
1000205;2006-07-13;1;1066615;1066958;2
1000206;2006-07-13;1;1066616;1066959;2
1000207;2006-07-13;1;1066628;1066960;2
1000208;2006-07-13;1;1066629;1066961;2
1000210;2006-07-13;1;1066632;1066963;2
1000211;2006-07-13;1;1066633;1066964;2
1000212;2006-07-13;1;1066634;1066965;2
1000213;2006-07-13;1;1066635;1066966;2
1000214;2006-07-13;1;1066636;1066967;2
1000215;2006-07-13;1;1066639;1066968;2
1000216;2006-07-13;1;1066640;1066969;2
1000217;2006-07-13;1;1066641;1066970;2
1000218;2006-07-13;1;1066642;1066971;2
1000219;2006-07-13;1;1066643;1066972;2
1000220;2006-07-13;1;1066644;1066973;2
1000221;2006-07-13;1;1066645;1066974;2
1000222;2006-07-13;1;1066646;1066975;2
1000223;2006-07-13;1;1066647;1066976;2
1000224;2006-07-13;1;1066648;1066977;2
1000225;2006-07-13;1;1066649;1066978;2
1000226;2006-07-13;1;1066650;1066979;2
1000227;2006-07-13;1;1066651;1066980;2
1000228;2006-07-13;1;1066652;1066981;2
1000229;2006-07-13;1;1066653;1066982;2
1000230;2006-07-13;1;1066654;1066983;2
1000232;2006-07-13;1;1066655;1066984;2
1000233;2006-07-13;1;1066656;1066985;2
1000235;2006-07-13;1;1066658;1066987;2
1000236;2006-07-13;1;1066658;1066988;2
1000237;2006-07-13;1;1066658;1066989;2
1000238;2006-07-13;1;1066660;1066990;2
1000239;2006-07-13;1;1066661;1066991;2
1000240;2006-07-13;1;1066662;1066992;2
1000241;2006-07-13;1;1066663;1066993;2
1000242;2006-07-13;1;1066664;1066994;2
1000243;2006-07-13;1;1066665;1066995;2
1000244;2006-07-13;1;1066666;1066996;2
1000245;2006-07-13;1;1066667;1066997;2
1000246;2006-07-13;1;1066668;1066998;2
1000247;2006-07-13;1;1066669;1066999;2
1000248;2006-07-13;1;1066670;1067350;0
1000249;2006-07-13;1;1066670;1067351;0
1000250;2006-07-13;1;1066670;1067352;0
1000251;2006-07-13;1;1066670;1067353;0
1000253;2006-07-13;1;1066670;1067354;0
1000254;2006-07-13;1;1066670;1067355;0
1000255;2006-07-13;1;1066670;1067356;0
1000256;2006-07-13;1;1066670;1067357;0
1000257;2006-07-13;1;1066670;1067358;0
1000258;2006-07-13;1;1066670;1067359;0
1000259;2006-07-14;1;1066657;1066986;8
1000260;2006-07-14;1;1067427;1067440;2
1000261;2006-07-14;1;1067454;1067463;2
1000262;2006-07-14;1;1067455;1067464;2
1000263;2006-07-14;1;1067456;1067464;2
1000264;2006-07-14;1;1067458;1067465;8
1000265;2006-07-14;1;1067481;1067491;0
1000266;2006-07-14;1;1067481;1067492;0
1000268;2006-07-14;1;1067481;1067493;0
1000269;2006-07-14;1;1067481;1067494;0
1000270;2006-07-14;1;1067481;1067495;0
1000271;2006-07-14;1;1067481;1067496;0
1000272;2006-07-14;1;1067481;1067497;0
1000273;2006-07-14;1;1067481;1067498;0
1000274;2006-07-14;1;1067481;1067499;0
1000275;2006-07-14;1;1067481;1067500;0
1000276;2006-07-14;1;1067481;1067501;0
1000277;2006-07-14;1;1067481;1067502;0
1000278;2006-07-14;1;1067481;1067503;0
1000279;2006-07-14;1;1067481;1067504;0
1000280;2006-07-14;1;1067481;1067505;0
1000281;2006-07-14;1;1067481;1067506;0
1000282;2006-07-14;1;1067481;1067507;0
1000283;2006-07-14;1;1067481;1067508;0
1000284;2006-07-14;1;1067481;1067509;0
1000285;2006-07-14;1;1067481;1067510;0
1000286;2006-07-14;1;1067511;1067514;0
1000287;2006-07-14;1;1067511;1067515;0
1000288;2006-07-14;1;1067511;1067516;0
1000289;2006-07-14;1;1067511;1067517;0
1000290;2006-07-14;1;1067511;1067518;0
1000291;2006-07-14;1;1067511;1067519;0
1000292;2006-07-14;1;1067511;1067520;0
1000294;2006-07-14;1;1067511;1067521;0
1000295;2006-07-14;1;1067511;1067522;0
1000296;2006-07-14;1;1067511;1067523;0
1000297;2006-07-14;1;1067511;1067524;0
1000298;2006-07-14;1;1067511;1067525;0
1000299;2006-07-14;1;1067511;1067526;0
1000300;2006-07-14;1;1067511;1067527;0
1000301;2006-07-14;1;1067511;1067528;0
1000302;2006-07-14;1;1067511;1067529;0
1000303;2006-07-14;1;1067511;1067530;0
1000304;2006-07-14;1;1067511;1067531;0
1000305;2006-07-14;1;1067511;1067532;0
1000306;2006-07-14;1;1067511;1067533;0
1000307;2006-07-14;1;1067511;1067534;0
1000308;2006-07-14;1;1067511;1067535;0
1000309;2006-07-14;1;1067511;1067536;0
1000310;2006-07-14;1;1067511;1067537;0
1000311;2006-07-14;1;1067511;1067538;0
1000312;2006-07-14;1;1067511;1067539;0
1000313;2006-07-17;1;1067241;1053228;0
1000314;2006-07-17;1;1067241;1053229;0
1000315;2006-07-17;1;1067148;1067310;2
1000316;2006-07-17;1;1067149;1067311;0
1000329;2006-07-17;1;1067154;1067324;2
1000330;2006-07-17;1;1067155;1067325;2
1000331;2006-07-17;1;1067156;1067326;2
1000332;2006-07-17;1;1067156;1067327;2
1000333;2006-07-17;1;1067157;1067328;2
1000334;2006-07-17;1;1067159;1067329;2
1000335;2006-07-17;1;1067161;1067330;2
1000336;2006-07-17;1;1067162;1067333;2
1000337;2006-07-17;1;1067164;1067335;2
1000338;2006-07-17;1;1067166;1067337;2
1000339;2006-07-17;1;1067167;1067341;2
1000340;2006-07-17;1;1067647;1067322;2
1000341;2006-07-17;1;1067650;1067323;2
1000342;2006-07-17;1;1067658;1067370;2
1000343;2006-07-17;1;1067177;1067366;2
1000344;2006-07-17;1;1067660;1067479;2
1000345;2006-07-17;1;1067226;1067480;2
1000346;2006-07-17;1;1067662;1067606;2
1000347;2006-07-17;1;1067240;1067607;2
1000348;2006-07-17;1;1067170;1067344;0
1000350;2006-07-17;1;1067173;1067347;2
1000351;2006-07-17;1;1067174;1067348;2
1000352;2006-07-17;1;1067175;1067349;2
1000353;2006-07-17;1;1067178;1067373;2
1000354;2006-07-17;1;1067179;1067374;2
1000355;2006-07-17;1;1067182;1067375;2
1000356;2006-07-17;1;1067183;1067376;2
1000357;2006-07-17;1;1067184;1067377;2
1000358;2006-07-18;1;1067185;1067401;2
1000359;2006-07-18;1;1067186;1067402;2
1000360;2006-07-18;1;1067187;1067403;2
1000361;2006-07-18;1;1067188;1067404;2
1000362;2006-07-18;1;1067189;1067405;8
1000363;2006-07-18;1;1067192;1067429;2
1000364;2006-07-18;1;1067193;1067430;2
1000365;2006-07-18;1;1067194;1067431;2
1000367;2006-07-18;1;1067196;1067433;2
1000368;2006-07-18;1;1067197;1067434;2
1000369;2006-07-18;1;1067198;1067435;2
1000370;2006-07-18;1;1067199;1067436;2
1000371;2006-07-18;1;1067200;1067437;2
1000373;2006-07-18;1;1067203;1067439;2
1000374;2006-07-18;1;1067203;1067441;2
1000375;2006-07-18;1;1067203;1067443;2
1000376;2006-07-18;1;1067203;1067444;2
1000377;2006-07-18;1;1067203;1067445;2
1000378;2006-07-18;1;1067203;1067446;2
1000379;2006-07-18;1;1067202;1067447;0
1000380;2006-07-18;1;1067203;1067448;2
1000382;2006-07-18;1;1067203;1067449;2
1000383;2006-07-18;1;1067203;1067450;2
1000384;2006-07-18;1;1067203;1067451;2
1000385;2006-07-18;1;1067210;1067452;2
1000386;2006-07-18;1;1067212;1067453;2
1000387;2006-07-18;1;1067214;1067457;2
1000388;2006-07-18;1;1067216;1067462;2
1000389;2006-07-18;1;1067217;1067466;2
1000390;2006-07-18;1;1067218;1067467;2
1000391;2006-07-18;1;1067219;1067468;2
1000392;2006-07-18;1;1067220;1067469;2
1000393;2006-07-18;1;1067221;1067470;2
1000394;2006-07-18;1;1067222;1067471;0
1000395;2006-07-18;1;1067223;1067472;2
1000396;2006-07-18;1;1067224;1067473;2
1000402;2006-07-18;1;1067227;1067484;2
1000403;2006-07-18;1;1067228;1067485;2
1000404;2006-07-18;1;1067229;1067486;2
1000405;2006-07-18;1;1067229;1067487;2
1000406;2006-07-18;1;1067230;1067488;2
1000407;2006-07-18;1;1067231;1067489;2
1000408;2006-07-18;1;1067232;1067490;2
1000409;2006-07-18;1;1067233;1067598;2
1000410;2006-07-18;1;1067234;1067599;2
1000411;2006-07-18;1;1067235;1067600;2
1000412;2006-07-18;1;1067236;1067601;0
1000413;2006-07-18;1;1067236;1067602;0
1000414;2006-07-18;1;1067237;1067603;2
1000415;2006-07-18;1;1067238;1067604;0
1000416;2006-07-18;1;1067239;1067605;2
1000417;2006-07-18;1;1067241;1053230;0
1000418;2006-07-18;1;1067241;1053231;0
1000419;2006-07-18;1;1067241;1053232;0
1000421;2006-07-18;1;1067241;1053233;0
1000422;2006-07-18;1;1067241;1053234;0
1000423;2006-07-18;1;1067695;1067739;2
1000424;2006-07-18;1;1067705;1067745;2
1000425;2006-07-18;1;1067707;1067751;2
1000426;2006-07-18;1;1067241;1053235;0
1000428;2006-07-18;1;1067241;1053236;0
1000429;2006-07-18;1;1067708;1067751;2
1000430;2006-07-18;1;1067241;1053237;0
