Recid;MStamp;MStation;IDArtikelHistoriek;IDDocument;IDRelatieTypeArt;IDRelatieTypeDoc
1000124;2007-05-23;1;1063545;1015793;1;1
1000125;2007-05-25;1;1086599;1015794;1;1
1000126;2007-05-31;1;1020053;1015800;1;1
1000127;2007-05-31;1;1030413;1015802;1;1
1000129;2007-06-07;1;1028997;1015813;1;1
1000130;2007-06-07;1;1034131;1015813;1;1
1000131;2007-06-07;1;1068574;1015770;1;1
1000132;2007-06-08;1;1082137;1015824;1;1
1000133;2007-06-13;1;1031361;1015230;0;666
1000134;2007-06-13;1;1031361;1015230;1;1
1000135;2007-06-14;1;1004574;1000518;1;1
1000136;2007-06-14;1;1004574;1000519;1;1
1000137;2007-06-14;1;1004574;1000520;0;666
1000138;2007-06-14;1;1004574;1000520;1;1
1000139;2007-06-14;1;1004574;1000521;1;1
1000140;2007-06-14;1;1004574;1000522;1;1
1000141;2012-07-24;1;1004574;1000523;666;4
1000142;2007-06-14;1;1004574;1000524;1;1
1000143;2007-06-14;1;1004574;1000525;1;1
1000144;2007-06-14;1;1004574;1000526;1;1
1000145;2007-06-14;1;1004574;1000527;1;1
1000146;2007-06-14;1;1004574;1000528;1;1
1000147;2007-06-14;1;1004574;1000529;1;1
1000148;2007-06-14;1;1004574;1000530;1;1
1000149;2007-06-14;1;1004574;1000531;1;1
1000150;2007-06-14;1;1004574;1000532;1;1
1000151;2007-06-14;1;1004574;1000533;1;1
1000152;2007-06-14;1;1004574;1000534;1;1
1000153;2007-06-14;1;1004574;1000535;1;1
1000154;2007-06-14;1;1004574;1000536;1;1
1000155;2007-06-14;1;1004574;1000537;1;1
1000157;2007-06-14;1;1004574;1000539;1;1
1000158;2007-06-14;1;1004574;1000540;1;1
1000160;2007-06-14;1;1004574;1000542;1;1
1000161;2007-06-14;1;1004574;1000543;1;1
1000162;2007-06-14;1;1004574;1000544;1;1
1000163;2007-06-14;1;1004574;1000545;1;1
1000164;2007-06-14;1;1004574;1000546;1;1
1000166;2007-06-14;1;1004574;1000548;1;1
1000167;2007-06-14;1;1004574;1000549;1;1
1000168;2007-06-14;1;1004574;1000550;1;1
1000169;2007-06-14;1;1004574;1000551;1;1
1000170;2007-06-14;1;1004574;1000552;1;1
1000171;2007-06-14;1;1004574;1000553;1;1
1000172;2007-06-14;1;1004574;1000554;1;1
1000173;2007-06-14;1;1004574;1000385;1;1
1000175;2007-06-14;1;1004574;1004014;1;1
1000176;2007-06-14;1;1004574;1004709;0;666
1000177;2007-06-14;1;1004574;1000555;1;1
1000178;2007-06-14;1;1004574;1004709;1;1
1000179;2007-06-14;1;1004574;1004710;1;1
1000180;2007-06-14;1;1004574;1000953;1;1
1000181;2007-06-14;1;1004574;1004711;1;1
1000182;2007-06-14;1;1004574;1004700;1;1
1000183;2007-06-14;1;1004574;1004712;1;1
1000184;2007-06-14;1;1004574;1004701;1;1
1000185;2007-06-14;1;1004574;1004702;1;1
1000186;2007-06-14;1;1004574;1001308;1;1
1000187;2007-06-14;1;1004574;1002406;1;1
1000188;2007-06-15;1;1089186;1015819;1;1
1000189;2007-06-15;1;1004574;1004703;0;666
1000190;2007-06-15;1;1004574;1004703;1;1
1000191;2007-06-15;1;1004574;1003133;1;1
1000192;2007-06-15;1;1004574;1004704;1;1
1000193;2007-06-15;1;1004574;1004705;1;1
1000194;2007-06-15;1;1004574;1002495;1;1
1000195;2007-06-15;1;1004574;1004706;1;1
1000196;2007-06-15;1;1004574;1004707;1;1
1000197;2007-06-15;1;1004574;1004708;1;1
