RecID;MStamp;MStation;Code;Omschrijving;Filter;Bijwerking;CDDoc2;StartLogo;TopLogo;Styles;Mask;Home
1000001;2012-11-14;1;Alles;Alles;AA;2012-11-13;;;AAAAA;default;xxxxxxxxxxxxxxxx;wet
1000002;2012-11-14;1;JURI;Juriwel;00;2012-11-13;;;;Default;xxxxxxxxxxxxxxxx;wet
