RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000152;2006-06-24;1;1000183;1000067
1000153;2006-06-24;1;1000183;1000068
1000154;2006-06-24;1;1000188;1000121
1000155;2006-06-24;1;1000188;1000065
1000156;2006-06-24;1;1000188;1000066
1000157;2006-06-24;1;1000188;1000067
1000158;2006-06-24;1;1000188;1000068
1000159;2006-06-24;1;1000190;1000122
1000160;2006-06-24;1;1000190;1000123
1000161;2006-06-24;1;1000190;1000124
1000162;2006-06-24;1;1000195;1000041
1000163;2006-06-24;1;1000195;1000042
1000164;2006-06-24;1;1000195;1000043
1000165;2006-06-24;1;1000195;1000044
1000166;2006-06-24;1;1000195;1000045
1000167;2006-06-24;1;1000195;1000046
1000168;2006-06-24;1;1000195;1000047
1000169;2006-06-24;1;1000195;1000048
1000170;2006-06-24;1;1000209;1000125
1000171;2006-06-24;1;1000210;1000126
1000172;2006-06-24;1;1000214;1000065
1000173;2006-06-24;1;1000214;1000066
1000174;2006-06-24;1;1000214;1000067
1000175;2006-06-24;1;1000214;1000068
1000176;2006-06-24;1;1000214;1000118
1000177;2006-06-24;1;1000214;1000119
1000178;2006-06-24;1;1000215;1000065
1000179;2006-06-24;1;1000215;1000066
1000180;2006-06-24;1;1000215;1000067
1000181;2006-06-24;1;1000215;1000068
1000182;2006-06-24;1;1000221;1000033
1000183;2006-06-24;1;1000222;1000127
1000184;2006-06-24;1;1000222;1000128
1000185;2006-06-24;1;1000227;1000129
1000186;2006-06-24;1;1000228;1000129
1000187;2006-06-24;1;1000231;1000130
1000188;2006-06-24;1;1000231;1000131
1000189;2006-06-24;1;1000234;1000132
1000190;2006-06-24;1;1000234;1000133
1000191;2006-06-24;1;1000234;1000088
1000192;2006-06-24;1;1000235;1000012
1000193;2006-06-24;1;1000235;1000081
1000194;2006-06-24;1;1000235;1000082
1000195;2006-06-24;1;1000235;1000083
1000196;2006-06-24;1;1000235;1000013
1000197;2006-06-24;1;1000235;1000014
1000198;2006-06-24;1;1000235;1000015
1000199;2006-06-24;1;1000235;1000016
1000200;2006-06-24;1;1000235;1000017
1000201;2006-06-24;1;1000238;1000134
1000202;2006-06-24;1;1000238;1000135
1000203;2006-06-24;1;1000238;1000136
1000204;2006-06-24;1;1000238;1000099
1000205;2006-06-24;1;1000238;1000100
1000206;2006-06-24;1;1000238;1000137
1000207;2006-06-24;1;1000238;1000072
1000208;2006-06-24;1;1000238;1000138
1000209;2006-06-24;1;1000238;1000139
1000210;2006-06-24;1;1000238;1000050
