RecID;MStamp;MStation;IDDocument;IDDeelCD
1000080;2006-06-24;1;1000080;1000001
1000081;2006-06-24;1;1000081;1000001
1000082;2006-06-24;1;1000082;1000001
1000083;2006-06-24;1;1000083;1000001
1000084;2006-06-24;1;1000084;1000001
1000085;2006-06-24;1;1000085;1000001
1000086;2006-06-24;1;1000086;1000001
1000087;2006-06-24;1;1000087;1000001
1000088;2006-06-24;1;1000088;1000001
1000089;2006-06-24;1;1000089;1000001
1000090;2006-06-24;1;1000090;1000001
1000091;2006-06-24;1;1000091;1000001
1000092;2006-06-24;1;1000092;1000001
1000093;2006-06-24;1;1000093;1000001
1000094;2006-06-24;1;1000094;1000001
1000095;2006-06-24;1;1000095;1000001
1000096;2006-06-24;1;1000096;1000001
1000097;2006-06-24;1;1000097;1000001
1000098;2006-06-24;1;1000098;1000001
1000099;2006-06-24;1;1000099;1000001
1000100;2006-06-24;1;1000100;1000001
1000101;2006-06-24;1;1000101;1000001
1000102;2006-06-24;1;1000102;1000001
1000103;2006-06-24;1;1000103;1000001
1000104;2006-06-24;1;1000104;1000001
1000105;2006-06-24;1;1000105;1000001
1000106;2006-06-24;1;1000106;1000001
1000107;2006-06-24;1;1000107;1000001
1000108;2006-06-24;1;1000108;1000001
1000109;2006-06-24;1;1000109;1000001
1000110;2006-06-24;1;1000110;1000001
1000111;2006-06-24;1;1000111;1000001
1000112;2006-06-24;1;1000112;1000001
1000113;2006-06-24;1;1000113;1000001
1000114;2006-06-24;1;1000114;1000001
1000115;2006-06-24;1;1000115;1000001
1000116;2006-06-24;1;1000116;1000001
1000117;2006-06-24;1;1000117;1000001
1000118;2006-06-24;1;1000118;1000001
1000119;2006-06-24;1;1000119;1000001
1000120;2006-06-24;1;1000120;1000001
1000121;2006-06-24;1;1000121;1000001
1000122;2006-06-24;1;1000122;1000001
1000123;2006-06-24;1;1000123;1000001
1000124;2006-06-24;1;1000124;1000001
1000125;2006-06-24;1;1000125;1000001
1000126;2006-06-24;1;1000126;1000001
1000127;2006-06-24;1;1000127;1000001
1000128;2006-06-24;1;1000128;1000001
1000129;2006-06-24;1;1000129;1000001
1000130;2006-06-24;1;1000130;1000001
1000131;2006-06-24;1;1000131;1000001
1000132;2006-06-24;1;1000132;1000001
1000133;2006-06-24;1;1000133;1000001
1000134;2006-06-24;1;1000134;1000001
1000135;2006-06-24;1;1000135;1000001
1000136;2006-06-24;1;1000136;1000001
1000137;2006-06-24;1;1000137;1000001
1000138;2006-06-24;1;1000138;1000001
1000139;2006-06-24;1;1000139;1000001
1000140;2006-06-24;1;1000140;1000001
1000141;2006-06-24;1;1000141;1000001
1000142;2006-06-24;1;1000142;1000001
1000143;2006-06-24;1;1000143;1000001
1000144;2006-06-24;1;1000144;1000001
1000145;2006-06-24;1;1000145;1000001
1000146;2006-06-24;1;1000146;1000001
1000147;2006-06-24;1;1000147;1000001
